,ticker,name,market_cap,sector,industry
115,ESES.L,Invesco MSCI Emerging Markets ESG Universal Screened UCITS ETF,409220728195,Financial Services,Asset Management
116,DKNG1.MX,DraftKings Inc.,405706496000,Technology,Media & Entertainment
117,CTO.DE,Costco Wholesale Corporation,397999843400,Consumer Defensive,Discount Stores
118,NFC.DE,"Netflix, Inc.",396894753000,Communication Services,Entertainment
119,XMAW.L,Xtrackers MSCI AC World ESG Screened UCITS ETF,392281502823,Financial Services,Asset Management
120,HDI.DE,"The Home Depot, Inc.",391583694600,Consumer Cyclical,Home Improvement
121,PG,The Procter & Gamble Company,384836782000,Consumer Defensive,Household & Personal Products
122,PRG.DE,The Procter & Gamble Company,365890394000,Consumer Defensive,Household & Personal Products
123,OPK.TA,"OPKO Health, Inc.",355911200000,Healthcare,Medical - Diagnostics & Research
124,BACRP,Bank of America Corporation PFD SER B 7%,354057317800,Financial Services,Banks - Diversified
125,BAC,Bank of America Corporation,354057207200,Financial Services,Banks - Diversified
126,JNJ,Johnson & Johnson,353486768400,Healthcare,Drug Manufacturers - General
127,VMCPX,Vanguard Mid-Cap Index Fund Institutional Plus Shares,348525887125,Financial Services,Asset Management
128,BND,Vanguard Total Bond Market Index Fund,342275940190,Financial Services,Asset Management - Bonds
129,VBTLX,Vanguard Total Bond Market Index Fund Admiral Shares,342038380541,Financial Services,Asset Management - Bonds
130,VBMFX,Vanguard Total Bond Market Index Fund Investor Shares,342038380541,Financial Services,Asset Management - Bonds
131,ECRP.L,Amundi Index Solutions - Amundi Index Euro Corporate SRI UCITS ETF DR,340131470947,Financial Services,Asset Management
132,NCB.DE,Bank of America Corporation,338569107100,Financial Services,Banks - Diversified
133,JNJ.DE,Johnson & Johnson,336681580800,Healthcare,Drug Manufacturers - General
134,M&MFIN.NS,Mahindra & Mahindra Financial Services Limited,330996168634,Financial Services,Financial - Credit Services
135,CEU1.L,iShares VII PLC -iShares Core MSCI EMU UCITS ETF EUR (Acc),323989648717,Financial Services,Asset Management
136,VIMAX,Vanguard Mid-Cap Index Fund Admiral Shares,319901990665,Financial Services,Asset Management
137,CRM,"Salesforce, Inc.",319523160000,Technology,Software - Application
138,TMO.NE,Thermo Fisher Scientific Inc.,316419997120,Healthcare,Medical - Diagnostics & Research
139,VINIX,Vanguard Institutional Index Fund Institutional Shares,314898087924,Financial Services,Asset Management
140,VIIIX,Vanguard Institutional Index Fund,314898087652,Financial Services,Asset Management
141,RCIT,"Reelcause, Inc.",312973391203,Industrials,Industrial - Machinery
142,FOO.F,"Salesforce, Inc.",307197000000,Technology,Software - Application
143,FOO.DE,"Salesforce, Inc.",305617950000,Technology,Software - Application
144,ABBV,AbbVie Inc.,300943942000,Healthcare,Drug Manufacturers - General
145,IBM.NE,International Business Machines Corporation,299122507749,Technology,Information Technology Services
146,EEI.L,WisdomTree Europe Equity Income UCITS ETF,297142466929,Financial Services,Asset Management - Income
147,ESPS.L,Invesco Markets II plc - Invesco MSCI Pacific Ex Japan ESG Universal Screened UCITS ETF,294311922000,Financial Services,Asset Management
148,DIS.NE,The Walt Disney Company,292293780838,Communication Services,Entertainment
149,GS.NE,"The Goldman Sachs Group, Inc.",288883767799,Financial Services,Financial - Capital Markets
150,AMD.NE,"Advanced Micro Devices, Inc.",287336624912,Technology,Semiconductors
151,4AB.DU,AbbVie Inc.,286524079600,Healthcare,Medical - Pharmaceuticals
152,4AB.DE,AbbVie Inc.,286418051200,Healthcare,Drug Manufacturers - General
153,CVX,Chevron Corporation,279717058500,Energy,Oil & Gas Integrated
154,RGAGX,American Funds The Growth Fund of America Class R-6,279395729357,Financial Services,Asset Management
155,GAFFX,American Funds The Growth Fund of America Class F-3,279077126137,Financial Services,Asset Management
156,AGTHX,American Funds The Growth Fund of America Class A,279006281694,Financial Services,Asset Management
157,GFAFX,The Growth Fund of America Class F-1 Shares,276386512833,Financial Services,Asset Management
158,CGFAX,American Funds Growth Fund of Amer 529A,274120769495,,
159,CHV.DE,Chevron Corporation,267694526400,Energy,Oil & Gas Integrated
160,KO,The Coca-Cola Company,266738976000,Consumer Defensive,Beverages - Non-Alcoholic
161,WFC,Wells Fargo & Company,254297748000,Financial Services,Banks - Diversified
162,TMUS,"T-Mobile US, Inc.",253648299300,Communication Services,Telecommunications Services
163,CCC3.DE,The Coca-Cola Company,252781704000,Consumer Defensive,Beverages - Non-Alcoholic
164,0R2L.L,"T-Mobile US, Inc.",252406575000,Communication Services,Telecommunications Services
165,RGABX,American Funds The Growth Fund of America Class R-2,248737267670,Financial Services,Asset Management
166,CSCO,"Cisco Systems, Inc.",247847154800,Technology,Communication Equipment
167,NWT.DE,Wells Fargo & Company,245583182400,Financial Services,Banks - Diversified
168,RGAAX,The Growth Fund of America Class R-1 Shares,244665974720,Financial Services,Asset Management
169,MRK,"Merck & Co., Inc.",241707102000,Healthcare,Drug Manufacturers - General
170,TM5.DE,"T-Mobile US, Inc.",239583160500,Communication Services,Telecommunications Services
171,GFACX,American Funds The Growth Fund of America,238789165000,Financial Services,Asset Management
172,ABALX,American Funds American Balanced Fund Class A,236071026687,Financial Services,Asset Management
173,BALFX,"American Funds American Balanced Fund, Class F-1 Shs",236071026681,Financial Services,Asset Management
174,CIS.DE,"Cisco Systems, Inc.",235620081600,Technology,Communication Equipment
175,NOW,"ServiceNow, Inc.",231745880000,Technology,Software - Application
176,0L5N.L,"ServiceNow, Inc.",230715880000,Technology,Software - Services
177,6MK.DE,"Merck & Co., Inc.",230450204000,Healthcare,Drug Manufacturers - General
